Id,Name,Project,Score
1765,projekt-detail_960,MP1306,0.1729255351
750,projekt-detail_1639,TD1006,0.1728852705
776,projekt-detail_1663,IS1004,0.1728428387
535,projekt-detail_142,IS1406,0.1726051007
103,projekt-detail_100,IC0901,0.1726047869
411,projekt-detail_130,TD1205,0.1725420722
1283,projekt-detail_430,TD1201,0.1719849339
248,projekt-detail_114,BM1106,0.1716371325
1162,projekt-detail_303,TD0801,0.1715811077
1610,projekt-detail_789,MP1106,0.1715450723
367,projekt-detail_1265,IS1306,0.1713497498
1163,projekt-detail_304,BM0906,0.1713139185
263,projekt-detail_1165,TU0804,0.1712559776
961,projekt-detail_1839,TU0903,0.1712467126
1415,projekt-detail_572,IS0605,0.1711849646
336,projekt-detail_1236,FA1405,0.1709067044
1579,projekt-detail_754,BM1308,0.1706351592
265,projekt-detail_1167,IS1007,0.1705641531
33,projekt-detail_037,IC0806,0.1704659385
1741,projekt-detail_935,IS1406,0.170321392
75,projekt-detail_080,IS0804,0.1703191779
1015,projekt-detail_188,FP0902,0.170282005
1267,projekt-detail_412,IS1302,0.1701560867
1002,projekt-detail_1877,IC1304,0.1695858458
259,projekt-detail_1161,ES0604,0.169427322
1791,projekt-detail_989,ES0803,0.1693902568
1441,projekt-detail_603,BM1101,0.1693529695
1778,projekt-detail_976,ES1105,0.1693423122
1604,projekt-detail_780,ES1305,0.1692811388
1654,projekt-detail_842,FA1005,0.1691742704
171,projekt-detail_1073,IS1308,0.1690674458
802,projekt-detail_1689,IS0801,0.1689130373
628,projekt-detail_1517,MP1209,0.1687904612
409,projekt-detail_1308,TD1005,0.1686092668
1631,projekt-detail_817,IC0901,0.1685741426
1690,projekt-detail_881,TU0804,0.1684333924
49,projekt-detail_054,FA0803,0.1684159922
84,projekt-detail_089,IC0602,0.1683735805
996,projekt-detail_1871,IS0903,0.1682651836
952,projekt-detail_1830,TU0903,0.1682158158
1203,projekt-detail_346,TU1204,0.1681038448
206,projekt-detail_1108,IS1007,0.1678824703
389,projekt-detail_1287,IS0602,0.1678733088
1340,projekt-detail_493,FP0804,0.1678153831
667,projekt-detail_1560,IS1306,0.1677533268
998,projekt-detail_1873,IS1409,0.1677354354
1266,projekt-detail_411,FA1003,0.167669851
323,projekt-detail_1222,CM1005,0.1668363932
709,projekt-detail_1600,IS0902,0.1665826884
1431,projekt-detail_590,TU0801,0.1664548244
1195,projekt-detail_338,TU1201,0.1664028608
1651,projekt-detail_839,ES0803,0.1662001933
11,projekt-detail_012,FA1208,0.1661578103
877,projekt-detail_175,TD1106,0.1656403821
515,projekt-detail_1410,TU0702,0.1655775475
1254,projekt-detail_399,IC0902,0.165501592
1077,projekt-detail_216,FA1105,0.1652963008
22,projekt-detail_025,TD1006,0.164897774
519,projekt-detail_1414,IS1406,0.1648420881
1233,projekt-detail_377,IS0603,0.1646524012
1320,projekt-detail_472,TD1001,0.1644787768
1116,projekt-detail_256,IS0906,0.1643829795
896,projekt-detail_1777,FP1302,0.1643450152
684,projekt-detail_1576,BM1308,0.1643017823
1054,projekt-detail_192,BM1301,0.1637928578
1759,projekt-detail_953,ES1202,0.1636891258
185,projekt-detail_1087,FP1207,0.1636027596
1079,projekt-detail_218,FA0605,0.1635883274
57,projekt-detail_062,CM1005,0.1633737479
1060,projekt-detail_198,TU1401,0.1631729836
238,projekt-detail_113,ES1104,0.1631615982
1464,projekt-detail_627,MP1210,0.1630516685
1061,projekt-detail_199,TU1401,0.1628091699
268,projekt-detail_1170,FP0902,0.1626415044
574,projekt-detail_1467,IC0802,0.1623485609
