"","Name","Project","Score"
"3862","project-34748","IC1104",0.259888873704911
"2777","project-30824","FP1105",0.259766640080068
"3206","project-32453","FP1206",0.25973618155099
"1200","project-22004","CM1001",0.259672477509534
"2834","project-31020","FP1304",0.259362121584597
"3709","project-34223","ES1406",0.259359728571715
"1353","project-22914","ES1304",0.259340614818749
"3676","project-34110","TU1401",0.25915429454504
"3198","project-32430","FA1006",0.259041355751946
"1762","project-25816","CM1402",0.258986547258506
"3360","project-32943","ES1104",0.258958956230088
"1361","project-22932","IC1202",0.258538938177056
"2091","project-27507","TD1201",0.258523798121425
"1556","project-24091","IS1107",0.258455426769189
"4391","project-6540","FP1201",0.258265601490166
"3593","project-33858","FA1302",0.258217171023866
"698","project-17443","TU1304",0.258164432716099
"4455","project-6679","IC1408",0.257949397574371
"2618","project-30217","ES1402",0.257560284777265
"3096","project-31946","TU1401",0.257392791168573
"493","project-14593","ES1402",0.25733730267697
"2495","project-29570","MP1006",0.257075519306675
"2616","project-30214","ES1402",0.256695917983802
"3782","project-34410","FP1006",0.256627047376222
"811","project-18604","FA1002",0.256206084867514
"2607","project-30163","TD1203",0.25616069947754
"3943","project-35021","MP1206",0.256047163652733
"3169","project-32363","TD1005",0.255968885655263
"4360","project-6442","TU1004",0.255834411406043
"1472","project-23518","IS1406",0.255628132509467
"1619","project-24654","CM1003",0.255602921039221
"2286","project-28612","CM1404",0.255584392275152
"4003","project-35239","TD1001",0.255526521850617
"5022","project-8747","MP1201",0.25524659952594
"4864","project-7835","IS1203",0.255118551723992
"129","project-11011","CM1305",0.255042147911
"1301","project-22649","TD1201",0.255009591763475
"4160","project-5994","TU1002",0.25500862742081
"592","project-16004","MP1102",0.254993397309765
"3350","project-32920","CM1005",0.254771431891565
"2095","project-27526","MP1301",0.254756291727399
"998","project-20400","IC1306",0.2546595848737
"3132","project-32197","IC1002",0.254075989313493
"1319","project-22746","CM1104",0.25404273234077
"1420","project-23285","MP1305",0.253976647747772
"1976","project-27046","IS1308",0.253878511813117
"3238","project-32546","ES1406",0.253796926562206
"2877","project-31206","FA1401",0.253673665921167
"3500","project-33482","ES1005",0.253611223439741
"213","project-11631","MP1305",0.253539759706553
"4713","project-7278","IC1102",0.253379707688877
"4490","project-6746","MP1305",0.25317651267067
"1995","project-27103","IS1205",0.253174576843852
"2872","project-31197","ES1406",0.252977185069106
"3276","project-32676","IS1103",0.252834020057827
"2386","project-29060","FP1206",0.252796883252423
"2403","project-29138","FP1305",0.252744500210664
"1977","project-27047","IS1101",0.252600381627029
"4084","project-5831","TD1001",0.252553912490054
