"Name","Vorname","Gastinstitution","Disziplin","Titel Projekt","Jahr"
"Gysel","Martin","PSI Villigen","Climatology, Atmospherical Chemistry, Aeronomoy","Soot Nanoparticles in the Past and Present Atmosphere",2008
"Jutzi","Martin","Universität Bern","Astronomy, Astrophysics and Spatial Sciences","Impact Processes in the Solar System",2012
"Worthington","Martin","Université de Genève","Other languages and literature","Individual style in Babylonian narrative poetry of the 1st millennium BC",2010
"Walter","Martin Alexander","Universität Basel","Clinical Cancer Research","Somatostatin-coupled Nanoparticles for Cancer Imaging and Therapy",2009
"Maan","Martine","Universität Bern","Ecology","The colours of speciation: can visual adaptation and sexual selection drive species divergence in cichlid fish?",2009
"Kaczmarek","Mary-Alix","Université de Lausanne","Geology","High strain zone: From the effect of mineral plasticity to plate tectonic",2012
"Lupi","Matteo","ETH Zürich","Geology","Earthquake-induced fault reactivation at oblique subduction zones: from cause to effect",2014
"Berking","Matthias","Universität Bern","Psychology","Evaluating the Effectiveness of an Intensive Emotion-Regulation Training as an Adjunctive Intervention in Psychotherapeutic Treatment of Mental Disorders",2008
"Mehling","Matthias","Universität Basel","Clinical Immunology and Immunopathology","Microfluidics-based analysis of human T cell migration on a single cell level",2014
"Meier","Matthias","ETH Zürich","Geochemistry","Traces of two recent cosmic events in terrestrial sediments",2014
"Leimgruber","Matthieu","Université de Genève","History in general","The emergence of the “crisis of the welfare state”: a social and transnational history (1970s-1980s)",2008
"Lieberman","Max","Universität Zürich","History in general","Conflicts between chivalry and law in high medieval “states”, ca. 1000– 1300",2009
"Jaeger","Michael","Universität Bern","Biomedical Engineering","Novel Computerised Ultrasound Tomography in Echo Mode - CUTE: Multimodal Ultrasound Imaging for Accurate Diagnosis and Treatment Control",2012
"Jucker","Michael","Universität Luzern","History in general","Beute, Plünderung, Kulturgüterraub. Kriegsökonomie und symbolische Konfliktformen vom Mittelalter bis zur Renaissance",2009
"König","Michael","Universität Zürich","Economics","The Coevolution of Economic Networks and Behavior: Theory, Empirics and Policy Implications",2014
"Koss","Michael","ETH Zürich","Astronomy, Astrophysics and Spatial Sciences","Uncovering Hidden Black Hole Growth",2014
"Studer","Michael Hans-Peter","ETH Zürich","Other disciplines of Engineering Sciences","Novel system for the direct fermentation of pretreated lignocellulosic material to ethanol in a single reactor",2008
"Juricek","Michal","Universität Basel","Organic Chemistry","Quantum Information Processing Devices: Emergence of High-Spin Nanographenes",2013
"Bucher-Karlsson","Michelle","EPF Lausanne","Mathematics","Milnor-Wood inequalities and characteristic classes",2009
"Stuparu","Mihaiela Corina","Universität Zürich","Organic Chemistry","New optoelectronic materials based on corannulene derivatives",2009
"Katan","Mira","Universität Zürich","Neurology, Psychiatry","Biomarker signature of stroke aetiology study: The BIOSIGNAL-Study",2012
"Soleymani","Mohammad","Université de Genève","Information Sciences","Sensing Knowledge Emotions in Multimedia Discovery",2014
"Pic","Muriel","Université de Neuchâtel","Romance languages and literature","Edith Boissonnas dans le cercle Paulhan : l'engagement lyrique",2010
"Alvarez","Nadir","Université de Lausanne","Zoology","Coalescence and adaptation processes in plant-insect interactions: Bridging the gap between genomics and phylogeography",2009
"Banerji","Natalie","EPF Lausanne","Physical Chemistry","Conjugated Donor-Acceptor Copolymers: Understanding Their Optoelectronic Functioning in Organic Solar Cells",2011
"Giger","Nathalie","Universität Zürich","Political Sciences","The politics of family policy expansion. Electoral rewards, party politics and citizens' attitudes in comparative perspective",2013
"Meuwly","Nathalie","Université de Fribourg","Psychology","What contributes to healthy romantic relationships? An investigation of heterosexual, lesbian, and gay male couples",2014
"Stojanovic","Nenad","Universität Luzern","Political Sciences","Racist voters and minority candidates: a conceptual puzzle and an empirical challenge with a focus on the Swiss case",2014
"Greiner","Nicolas","Universität Zürich","Theoretical Physics","Automated calculations of electroweak corrections at the LHC",2014
"Rothen","Nicolas","Universität Bern","Psychology","Natural Foundations of Enhanced Memory",2014
"Silvestrini","Nicolas","Université de Genève","Psychology","Motivational Perspectives on the Reciprocal Influence of Cognitive Control and Pain",2012
"Kränkel","Nicolle","Universität Zürich","Cardiovascular Research","Verbesserung der Rekrutierung Pro-angiogener Zirkulierender Zellen mittels Manipulation der Kinin-Rezeptor Signalübertragung",2009
"Thomos","Nikolaos","EPF Lausanne","Information Sciences","Low cost network coding for collaborative video streaming",2008
"Arrigo","Nils","Université de Lausanne","Botany","Functional genomics of adaptive introgression: experimental transfer of zinc resistance between Arabidopsis halleri and A. lyrata.",2013
"Khanna","Nina","Universität Basel","Immunology, Immunopathology","Relevance of different CD4+ T-cell subsets for antifungal defense. What is aberrant in immunocompromised patients?",2012
"Ullrich","Nina","Universität Bern","Cardiovascular Research","Functional characterization and comparison of stem cell-derived cardiomyocytes for cardiac regenerative medicine",2010
"Bubenhofer","Noah","Universität Zürich","German and English languages and literature","Visual Linguistics: Fundamentals of Visualizing Language Data",2014
"Faresse","Nourdine","Universität Zürich","Physiology: other topics","Role of the Mineralocorticoid receptor signaling in the control of adipocytes differentiation and function",2012
"Casacuberta Arola","Nuria","ETH Zürich","Oceanography","A new multitracer approach in Oceanography: combining U-236 with conventional anthropogenic radionuclides in the Arctic and Atlantic Oceans",2014
"Zenker","Olaf","Universität Bern","Ethnology","Land restitution and the moral modernity of the new South African state",2011
"Silander","Olin","Universität Basel","Experimental Microbiology","The generation of novel function in microbial systems",2009
"Hahn","Oliver","ETH Zürich","Astronomy, Astrophysics and Spatial Sciences","Galaxies and Large-scale Structure in the Universe: Their Formation and Implications for Cosmological Observables",2011
"Martin","Oliver Yves","ETH Zürich","Ecology","Evolutionary Conflicts and their Impact on Speciation",2008
"Frey","Olivier","ETH Zürich","Microelectronics, Optoelectronics","The Body on a Chip - Human 3-D tissue analogues in microfluidic systems",2012
